id,usuario_id,direccion,distrito,ciudad,pais,es_principal
1,2,Psje. Calle de Juan Antonio Vidal 56,San Martín de Porres,Lima,Perú,true
2,1,Calle Pasadizo Emilio Luján 51,Rímac,Lima,Perú,true
3,3,Ca. Cañada Conrado Benavent 97,La Molina,Lima,Perú,true
4,4,Calle Alameda de Emiliana Fuente 977,Magdalena,Lima,Perú,true
5,5,Jr. Avenida Loida Pujadas 8,Jesús María,Lima,Perú,true
6,6,Av. Avenida de Graciano Girona 92,Comas,Lima,Perú,true
7,7,Jr. Alameda Sara Verdejo 51,Rímac,Lima,Perú,true
8,8,Calle Paseo Nazaret Frutos 589,Comas,Lima,Perú,true
9,9,Jr. Alameda de Coral Herranz 42,Barranco,Lima,Perú,true
10,10,Jr. Cuesta de Bruno Borrás 12,Surco,Lima,Perú,true
11,11,Ca. Pasadizo de Leoncio Vélez 73,Cercado de Lima,Lima,Perú,true
12,12,Calle Cuesta de Gertrudis Palau 6,Ate,Lima,Perú,true
13,13,Jr. Camino de Eva María Naranjo 13,Magdalena,Lima,Perú,true
14,14,Jr. Acceso Narcisa Donaire 16,La Molina,Lima,Perú,true
15,15,Av. Calle Olga Benavent 2,Santa Anita,Lima,Perú,true
16,16,Av. C. Ciriaco Pellicer 1,Ate,Lima,Perú,true
17,17,Jr. Rambla Lina Casals 13,Villa El Salvador,Lima,Perú,true
18,18,Jr. Via de Petrona Juan 4,Surco,Lima,Perú,true
19,19,Ca. Acceso de Tristán Escribano 9,Comas,Lima,Perú,true
20,20,Jr. C. Heraclio Juan 37,Villa María del Triunfo,Lima,Perú,true
21,21,Ca. Calle Modesta Cuadrado 95,Magdalena,Lima,Perú,true
22,22,Jr. Rambla de Albert Soto 99,Pueblo Libre,Lima,Perú,true
23,23,Ca. C. de Pilar Iglesia 18,Comas,Lima,Perú,true
24,24,Ca. Alameda Mamen Arroyo 442,San Martín de Porres,Lima,Perú,true
25,25,Calle Acceso de Dominga Cazorla 76,Santa Anita,Lima,Perú,true
26,26,Jr. Glorieta Jovita Múñiz 43,Santa Anita,Lima,Perú,true
27,27,Psje. Camino de Sandra Ribas 7,Villa María del Triunfo,Lima,Perú,true
28,28,Pasaje Calle de Fito Salinas 5,Villa María del Triunfo,Lima,Perú,true
29,29,Av. Pasadizo de Sonia Torrens 190,San Martín de Porres,Lima,Perú,true
30,30,Calle Pasaje de Aureliano Ribes 28,San Borja,Lima,Perú,true
